Loan ID,No. of Dependencies,Education,Self Employed,Income/Annum (?),Loan Amount (?),Loan Term (Months),Credit Score,residental_status,commercial_assets,luxury_assets,bank_assets,Loan Status
L001,0,Graduate,No,"8,50,000","15,00,000",120,810,"25,00,000",0,"3,00,000","6,00,000",Approved
L002,2,Graduate,Yes,"6,20,000","18,00,000",180,760,"18,00,000","5,00,000","2,00,000","4,00,000",Approved
L003,3,Not Graduate,No,"2,80,000","12,00,000",240,590,"8,00,000",0,"50,000","1,20,000",Rejected
L004,1,Graduate,No,"12,00,000","20,00,000",180,845,"40,00,000","10,00,000","8,00,000","12,00,000",Approved
L005,4,Not Graduate,Yes,"3,50,000","15,00,000",240,610,"10,00,000","1,00,000","1,00,000","2,50,000",Rejected
L006,0,Graduate,No,"15,00,000","25,00,000",120,890,"50,00,000","20,00,000","15,00,000","20,00,000",Approved
L007,2,Graduate,No,"5,00,000","10,00,000",60,720,"16,00,000",0,"1,50,000","3,00,000",Approved
L008,5,Not Graduate,Yes,"2,20,000","14,00,000",300,540,"6,00,000",0,0,"80,000",Rejected
L009,1,Graduate,Yes,"9,00,000","16,00,000",120,790,"28,00,000","8,00,000","4,00,000","7,00,000",Approved
L010,3,Not Graduate,No,"3,80,000","13,00,000",180,630,"12,00,000","2,00,000","1,20,000","2,20,000",Rejected
